	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__T5likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Inoviridae|g__Inovirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polyomaviridae|g__Polyomavirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Retroviridae_noname	label
G78770	0.0	0.424	0.0	0.0	3.16761	0.0	0.0	0.08822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015619999999999998	0.61963	0.00446	3.4213199999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78875	0.0	1.8380299999999998	0.0	0.0	0.08667000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21656	0.0	0.0	0.0	0.0	2.33427	0.0	0.11192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78493	0.00521	0.02259	0.0	0.0	0.09295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11007	0.20247	0.05033	0.29561	0.04828	0.0	0.08384	0.0	0.0	0.027389999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78738	0.0	0.0	0.0	0.0	0.1386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028939999999999997	0.02147	0.7553300000000001	0.00717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00479	0.0	0.0	0.0	0.0	0.01938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78739	0.0	0.00396	0.0	0.0	0.43768	0.0	0.0	0.0	0.0	0.77613	0.0	0.0	0.0	0.7745	0.0161	0.0	0.1088	0.04678	0.35551	0.17081	0.0352	0.0	0.10079	0.0	0.0	0.48078000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78749	0.0	0.3552	0.0	0.0	0.20018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029930000000000002	0.18958	0.0	0.0	0.04314	0.0	0.04772	0.0	0.0	0.030289999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78748	0.0	1.61598	0.0	0.0	8.490730000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8274	0.007670000000000001	0.0	0.01408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80596	0.0	0.0	0.0	0.0	0.00026000000000000003	0.0	0.0	0.0	0.0	0.0	0.11646	0.0	0.00013000000000000002	0.00335	0.00212	0.0	0.00079	0.00875	0.00428	0.00877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80528	0.0	0.0	0.0	0.0	0.00247	0.0	0.0	0.0	0.0	0.0	0.05661	0.00793	0.0097	0.0	0.00324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80590	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01205	0.0	0.0	0.0	0.0	0.0	0.0051	0.0046700000000000005	0.0	0.05508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80602	0.0	0.0	0.0	0.0	0.02735	0.0	0.0	0.0	0.0	0.0	10.381839999999999	0.0	0.00093	0.07237	0.0	0.0	0.08984	0.030489999999999996	0.0	0.027860000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80275	0.0	0.0	0.0	0.0	0.0	0.0	0.8437600000000001	17.19505	0.28998	4.38927	0.0	0.0	0.0	0.00389	0.05655	0.08719	0.00173	0.16328	0.61988	0.0821	0.02622	0.00125	0.0	0.0	0.0	0.58244	0.0	0.61197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23292	0.0	0.39883	0.46331999999999995	0.0	0.12405	0.0	0.0	0.0	0.0	0.0291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11381	0
G78831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15680999999999998	0.0	0.06919	1.36616	0.00207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29786999999999997	0.20728000000000002	0.88003	2.1306	0.31024	0.0	0.05051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00583	0.5702	0.35422	1.3528799999999999	0.0	0.03586	0.14985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014490000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78640	0.0	0.0	0.0	0.0	0.11737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01705	0.23183	0.19341	0.9638700000000001	0.39421999999999996	0.0	0.0	0.0577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78788	0.0	0.00252	0.0	0.0	0.0	0.0	0.0	0.0613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07186000000000001	0.0	0.0	0.0	0.0	0.0	0.15417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80389	0.0	0.0	0.0	0.0	0.0	0.0	2.27593	0.0	0.0	1.85933	0.0	0.0	0.0	0.07082000000000001	0.34671	2.0321700000000003	0.24578000000000003	0.26987	0.17622000000000002	0.0	0.06326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11268	0.01026	0.0	0.41398999999999997	0.01653	0.0	0.18466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24043	0.0	0.01407	1.1167799999999999	0.0	0.06434	0.09074	0.0213	0.0	0.0	0.0	0.8920399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G69183	0.0	0.0	0.0	0.0	0.054779999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045630000000000004	0.0	0.29254	0.20531999999999997	2.12208	0.02172	0.0	0.38876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78577	0.0	0.0	0.0	0.0	0.23485999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00883	0.0669	0.13018	0.0	0.47091000000000005	0.85265	7.04042	0.09362999999999999	0.062110000000000005	0.14193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97496	0.0	0.0	0.0	0.8108	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19000999999999998	0.0	0.0	0.0	0.19952999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80536	0.0	0.0	0.0	0.0	0.03254	0.0	0.0	0.0	0.0	0.0	0.00339	0.0	0.0	0.3212	0.0	0.0	0.0	0.0	0.0	0.04168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2307299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02409	0.0	0.0	0.0	0.0061	0.0	0.01726	0.00055	0.0	0.0199	0.0	0.0	0.0	0.0	6.28376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.03475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78487	0.0	0.0	0.0	0.0	0.05632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00881	0.8454	0.20665999999999998	0.07148	2.40721	0.03481	0.0835	0.05056	0.0	0.0	0.0	0.00577	0.008159999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09031	0.95268	0.0	0.03972	0.0	0.0	0.0044399999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052629999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07113	1
G78611	0.0	0.0	0.0	0.0	0.00119	0.0	0.0	4.1984	0.0	0.0	0.79723	0.0	0.0	0.0	0.0	0.0047799999999999995	0.035289999999999995	0.39357	0.28796	0.0	0.0	0.04927	0.0040100000000000005	0.0	0.0	0.0	1.0498399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80427	0.0	0.0	0.0	0.0	0.10178	0.0	0.0	0.0	0.0	0.6671199999999999	0.0	0.0	0.0	0.12185	0.00359	0.0	0.09287000000000001	0.20772	0.63837	0.0	0.01457	0.00281	0.0	0.0	0.0	0.0	0.0	0.21116999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78656	0.0	0.02369	0.0	0.0	0.25451999999999997	0.0	0.0	0.0	0.0	1.43856	0.0	0.0	0.0	0.0	0.01596	0.0	0.10103999999999999	0.48113	0.37276	0.0174	0.0	0.01141	0.0	0.0	0.0	0.0	0.0	0.01289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80468	0.0	0.0	0.14999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02895	0
G78525	0.0	0.0	0.0	0.0	0.06346	0.0	0.0	0.05342	0.0	0.02305	0.03985	0.0	0.0	0.0	0.0	0.0	0.12127	0.00557	0.023809999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11360999999999999	1
G78524	0.0	0.0	0.0	0.0	0.41328000000000004	0.0	0.0	0.01153	0.0	0.0	0.01043	0.0	0.0	0.09291	0.01484	0.0	0.7086600000000001	0.13022	0.00286	0.0731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80444	0.0	0.0	0.0	0.0	0.16272999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20543000000000003	0.0	0.0	0.24714	2.53343	0.05602000000000001	0.08665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80274	0.0	0.0	0.0109	0.07089	0.06042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01247	0.05822000000000001	0.69896	0.12137	0.21149	1.23875	1.6916200000000001	0.43568999999999997	0.01257	0.0	0.0	0.0	0.0	0.0	0.1346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038130000000000004	1
G69209	0.0	0.0	0.0	0.0	11.087019999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199	0.0	0.08407	0.00898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80417	0.0	0.007679999999999999	0.0	0.0	0.8266100000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020130000000000002	0.0	0.0	0.01718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G69210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07382000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78778	0.0	0.0	0.0	0.0	0.35743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80506	0.0	0.0	0.010620000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.95932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009290000000000001	1
G80580	0.0	0.0	0.0	0.0	0.06419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5989899999999999	0.0	0.0	0.0	0.0060799999999999995	0.011000000000000001	0.0	0.06917000000000001	0.0	0.030039999999999997	0.0	0.0	0.0	0.0	0.21652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80405	0.11004000000000001	0.0	0.0	0.0	0.0	0.0	1.2693	1.9269999999999998	0.21814	6.27367	0.0	0.0	0.0	0.0	0.07557	0.36129	0.30186999999999997	0.25806	0.43281000000000003	0.0	0.0	0.0	0.0	1.61469	0.0	0.01261	0.27598	0.9259999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80410	2.72991	0.0	0.0	0.0	0.0	0.0	1.47278	1.03752	0.0	0.75766	0.0	0.0	0.0	0.00783	0.14205	14.83663	0.8605	0.51074	0.75112	0.04883	0.06565	0.0	0.0	3.82418	0.0	0.0	0.127	0.22436999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80299	0.0	0.0	0.0	0.0	0.06352000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03594	0.0	0.0	0.30892	0.0	0.14089000000000002	0.02189	0.0	0.0	0.0	0.0	0.0	0.0	0.25585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80304	0.0	0.0	0.0	0.0	0.048260000000000004	0.0	0.39125	6.947960000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.02375	0.12818	0.138	0.21249	1.0521399999999999	0.05554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80357	0.19252	0.0	0.0	0.0	0.0	0.0	0.0922	2.05605	0.21239	1.6957900000000001	0.0	0.0	0.0	0.0	0.24929	0.60425	0.65164	0.30209	0.46534	0.0	0.0	0.0	0.0	5.01083	0.0	0.0	0.02481	0.14887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G69152	0.0	0.0	0.0	0.0	0.59835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046700000000000005	0.0	0.5942	0.30605	0.13667	0.0	0.16763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10622999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78594	0.0	0.0	0.0	0.0	0.14702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007099999999999999	0.008029999999999999	0.27321	0.06548	0.061279999999999994	1.089	0.11900000000000001	0.00775	0.0	0.0	0.0	0.0	0.09581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78507	0.0	0.26300999999999997	0.0	0.0	0.42791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29208	0.01963	0.06456	0.0	0.35566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16205999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80453	0.0	0.05339	0.0	0.0	0.40865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056870000000000004	1.42432	0.0	0.02504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G69170	0.0	0.0	0.0	0.0	0.18256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0050799999999999994	0.04278	0.31831	0.00636	0.04703	0.1681	0.22136999999999998	0.00825	0.0	0.0	0.0	0.0	0.010029999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78521	0.0	0.0	0.0	0.0	0.6178600000000001	0.0	0.0	0.01001	0.0	0.0	0.0	0.0	0.0	0.13982999999999998	0.07608999999999999	0.0	0.0019399999999999999	7.682989999999999	0.02532	0.90996	0.027760000000000003	0.0	0.0	0.04496	0.0	0.52668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78527	0.0	0.0	0.0	0.0	0.035289999999999995	0.0	0.0	0.023280000000000002	0.0005099999999999999	0.015059999999999999	0.00557	0.0	0.00286	0.11765	0.01089	0.0	0.07786	0.31256	4.51357	0.01169	0.06692000000000001	0.01891	0.0	0.0	0.01226	0.2104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78681	0.0	0.0	0.0	0.0	0.30011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03848	0.039810000000000005	0.05144	0.0	0.40097	1.9051200000000001	0.0	0.4276	0.05301	0.0	0.0	0.0	0.0	1.4593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78682	0.0	0.0	0.0	0.0	0.13837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005099999999999999	0.09041	0.26279	0.0	0.54009	0.45895	1.32245	0.01284	0.22874	0.0	0.0	0.0	0.0	0.0	0.21350999999999998	3.24106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78869	0.0	0.0	0.0	0.0	0.07307000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02493	0.044660000000000005	0.0	0.69858	0.19960999999999998	0.63388	0.07441	0.06416000000000001	0.0	0.0	0.0	0.0	0.0	0.06824	0.33628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80460	0.0	0.0	0.0	0.0	0.20658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6061	0.05977999999999999	0.0	0.27753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035460000000000005	0
G80610	0.0	0.02815	0.01193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11175999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0036899999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80547	0.0	0.0	0.0	0.0	0.48478999999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	0.0631	0.18573	2.28395	1.18184	0.0	0.06408	0.008020000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78909	0.0	0.0	0.00449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
