	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Podoviridae_noname	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__T5likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus
G78489	0.0	0.21100000000000002	1.1692	1.04148	2.25632	0.0	0.0	6.42781	0.0	0.0	0.0	2.54316	23.02386	0.06012000000000001	2.92633	0.0	1.44556	0.26356	3.9007099999999997	0.5655100000000001	15.398229999999998	2.79973	0.0	0.0	0.45824	0.0	0.05341	0.0	0.0	0.0	0.0	0.0	0.5687	0.0	0.0	0.06006	0.0	0.0	0.0	0.0
G78840	0.0	0.0	0.0	0.0	37.7641	0.0	0.00822	0.0	0.01846	0.46613000000000004	0.0609	0.01402	0.0	0.03456	1.23624	0.0	0.0	0.14242	0.0005099999999999999	0.0	4.45366	0.0	0.0	0.0	0.0	0.0	0.14463	0.0	0.20622	0.0	0.0	0.25932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78819	0.0	0.0	0.0	0.0	17.78319	0.0	0.0	0.0	0.0050100000000000006	0.00434	0.0	0.32136	0.028480000000000002	0.05752	0.1191	0.0	0.0	0.03808	0.028210000000000002	0.0	9.04658	0.0	0.0	0.0	0.0	0.0	0.27386	0.0	0.0	0.0	4.2045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78645	0.0	1.76173	0.0	0.0	3.48939	0.0	0.0010400000000000001	0.00091	0.0	0.0	0.06763999999999999	2.4704200000000003	0.01874	0.20401	3.14815	0.0	0.0	0.2372	0.02332	0.0	1.95133	0.0	0.08183	0.0	0.0	0.0	0.47498999999999997	0.0	0.16069	0.056720000000000007	2.75208	0.0	0.0007700000000000001	0.0	0.0	0.0	9.04503	0.0	13.277220000000002	0.0
G69180	0.0	0.4724	0.0	0.0	7.3322199999999995	0.0	0.0	0.0	0.0	0.0	0.0	2.2702299999999997	0.0	0.2511	7.21368	0.0	0.0	0.06373	1.64352	0.0	3.75225	0.0	0.63352	0.0	0.0	0.0	0.14532	0.0	0.0	0.07982	0.24376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78644	0.0	0.0	0.0	0.0	0.0	0.0	0.00503	0.0	0.63893	0.0	0.01241	0.0	0.00043	0.6744600000000001	9.559510000000001	0.0	0.0	2.1912	0.00267	0.0	0.0	0.0	12.68673	0.0	0.0	0.0	0.2954	0.0	0.0	0.0	0.043269999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20313	0.026310000000000004	0.0	0.04929	0.01305	0.0	0.0	2.44533	0.0	0.0	0.0039	0.708	0.0	3.18106	0.0	0.20614000000000002	0.0	0.04185	0.0	0.33288	0.0	0.0	0.0	0.0	0.0	0.05987000000000001	0.0	0.0	0.00173	0.0	0.0	0.0	0.0
G78879	0.0	0.0	0.0	0.0	0.061560000000000004	0.0	0.0026	0.00621	0.0	0.0	0.0376	0.76251	15.46989	0.13635	1.56623	0.0	0.0	0.78893	0.9069299999999999	0.0	5.24621	0.0	0.2364	0.0	0.0	0.0	0.09268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.76808	0.0	0.0	0.0	0.59111
G78773	0.0	0.0	0.0	0.0	0.05006	0.0	0.03796	0.017419999999999998	0.0	0.0	0.25798000000000004	3.1487	0.0011099999999999999	0.038310000000000004	1.85582	0.0	0.0	0.8526799999999999	0.02019	0.026719999999999997	5.06637	0.0	0.32650999999999997	0.0	0.0	0.0	0.018580000000000003	0.0	0.0	0.0	0.0	0.0	0.40741	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78674	0.0	0.0	0.0	0.0	0.03773	0.0	0.0318	0.0	0.07697000000000001	0.08881	0.00547	0.08667000000000001	0.0	0.0	0.21624000000000002	0.0	0.0	0.13872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2240400000000005	0.0	0.0	0.0	0.02748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78673	0.0	0.98806	1.8011700000000002	0.2545	2.94215	0.0	0.0	0.24168	0.0	0.0	0.04415	0.79252	0.0	0.0021899999999999997	2.25628	0.0	0.0	0.3034	0.0	0.22150999999999998	4.15919	0.0	0.0	0.0	61.43479	0.0	0.02355	0.0	0.0	7.99803	0.04797	0.0	1.56841	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00073	0.30961	3.16557	0.0	0.9843200000000001	4.697769999999999	0.0	0.0	0.5515100000000001	0.0	0.0	0.0	0.0	0.52889	0.0	0.0	0.0	2.8708099999999996	0.0	0.0	0.0	0.0	0.0	7.02716	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80532	0.0	0.31983	0.07407000000000001	0.0	1.43533	0.0	0.0003	0.008440000000000001	0.0023899999999999998	0.0005200000000000001	0.45893999999999996	0.0	0.0	0.0	3.6981800000000002	0.0	0.0	0.0	0.00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3322100000000001	0.0	0.0	0.00307	1.10758	0.0	0.0	0.0	0.0	0.0	0.00293	0.0	0.0	0.0
G80419	0.0	0.8763	0.0	0.0	3.4228	0.0	0.0	0.15215	0.0	0.0	0.01529	0.17695999999999998	4.85277	0.006840000000000001	0.15007	0.0	0.0	0.17127	4.3562199999999995	1.05245	0.0	0.46843	0.08753999999999999	0.0	0.0	0.0	0.11395	0.0	0.01489	0.01944	0.0	0.0	0.19102	0.0	0.0	0.0	1.79855	0.0	0.0	0.0
G78593	0.0	0.34347	0.0	0.0	0.0	0.0	0.00093	1.514	0.0	0.0	0.02947	0.0	0.78706	0.00829	13.42365	0.0	0.02241	0.18402000000000002	5.8926300000000005	0.0	2.31301	1.19541	0.08835	0.0	0.0	0.0	1.41618	0.053610000000000005	0.0	0.0	0.06269	0.0	0.0	0.0	0.0	0.00982	0.0	0.0	0.0	0.0
G78829	0.0	1.62595	0.67533	0.16113	1.7636599999999998	0.0	0.01142	3.4023	0.0	0.0016300000000000002	0.46343	0.01125	20.12479	0.02528	2.90278	0.0	0.0	0.5927100000000001	10.02557	0.0	8.663780000000001	15.188679999999998	0.0	0.0	0.026619999999999998	0.0	1.89725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48323	0.0	0.0	0.0	0.0
G78592	0.0	4.156280000000001	0.0	0.0	0.0	0.0	0.00598	0.56552	0.0	1.79377	0.40775	0.01171	0.0007	0.0	0.68082	0.0	0.0	0.0	0.0	0.0	0.00244	0.0	0.39584	0.0	0.0	0.0	0.06565	0.0	0.0	0.14841	0.02085	0.0	0.00648	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78679	0.0	2.83542	0.0	1.75658	12.97649	0.0	0.0	0.24031999999999998	0.0	0.14597000000000002	0.03071	0.0	0.0	0.0	7.509689999999999	0.0	0.0	1.07196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55612	0.0	0.0	0.0	0.33838	0.0	0.00236	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78877	0.0	3.03668	0.0	0.08482	2.11663	0.0	0.0	0.31293000000000004	0.0	0.0	0.47431	0.21773	2.2042900000000003	0.0	11.75066	0.0	0.0	1.2779399999999999	4.55199	0.0	0.18074	5.317	0.0	0.0	0.0	0.0	4.67396	0.03007	0.0	0.0	0.0	0.0	0.09727000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G69185	0.0	0.0	0.0	1.41044	6.578289999999999	0.0	0.0	1.78598	0.0	0.0902	0.17817	0.26718000000000003	3.12506	0.05105	0.97334	0.0	0.0829	0.35388000000000003	0.73882	0.22501	4.83421	1.3982299999999999	0.12951	0.0	0.14022	0.0	0.12772	0.02029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46492	3.5266300000000004	0.0	0.0	0.0
G78669	0.0	0.0	0.0	4.268680000000001	2.91147	0.0	0.0	3.85198	0.0	0.10314000000000001	0.44153000000000003	0.08081	10.26216	0.03234	1.05745	0.0	0.09237000000000001	0.09437000000000001	2.79304	0.6351100000000001	4.515	1.59212	0.061029999999999994	0.0	0.0	0.0	0.12152	0.0	0.05421	0.0	0.0	0.0	0.0	0.0	0.0	0.04755	0.0	0.0	0.0	0.0
G78531	0.0	0.0	0.0	0.0	47.75877	0.0	1.9346599999999998	0.0	0.25461999999999996	0.0	2.08733	0.46616	5.249569999999999	0.06579	10.8519	0.0	0.0	0.012	9.10188	0.0	1.16475	0.0	2.55766	0.0	0.0414	0.0	3.03032	0.0	0.31384	0.20182	0.92153	0.0	0.02179	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G69219	0.0	0.0	0.0	0.028839999999999998	0.14084000000000002	0.0	0.0	0.82171	0.0	0.09833	0.37095	0.13984000000000002	15.9169	0.0	0.64613	0.0	0.0	0.09487000000000001	52.63126	0.44306999999999996	6.2106	0.01144	0.0	0.0	6.11667	0.0	3.4289199999999997	0.0	0.0	0.0	0.0	0.0	1.8984	0.0	0.0	0.24026999999999998	0.36002	0.0	0.0	0.0
G69155	0.0	0.0	0.0	0.0	12.69776	0.0	0.23383	0.0	0.0	0.0	0.06998	0.9293299999999999	5.21514	0.21678000000000003	2.15682	0.0	0.0	0.0335	6.30814	0.0	6.10849	0.01378	0.36849	0.0	0.0	0.0	0.89792	0.016309999999999998	0.0	1.05186	0.01294	0.0	0.0	0.0	0.0	0.0	2.37872	0.0	0.0	0.0
G80517	0.0	0.0	0.0	0.0	0.12665	0.0	0.00436	0.0	0.01132	0.0	0.1348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00143	0.0	0.0	0.0	0.0
G78511	0.0	0.91448	0.75855	5.6359900000000005	11.63382	3.6526300000000003	0.03227	7.45075	0.0	0.0	0.036289999999999996	0.0	8.74507	0.12374	0.32606	0.0	0.09396	0.18764	8.99207	0.00596	2.59179	1.62933	0.0	0.0	0.09764	0.0	0.16987	2.31636	0.0	0.0	0.0	0.0	0.13769	0.0	0.0	0.72905	0.0	0.0	0.0	0.0156
G80312	0.0	0.0	0.0	0.0	1.7195	0.0	0.00049	0.00159	0.07534	4.9179699999999995	0.0635	0.0	0.0007700000000000001	0.0	0.026489999999999996	0.0	0.0	0.0	0.0005	0.0	0.05753	0.0	0.0	0.0	0.00315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00298	0.0	0.0	63.327819999999996	0.0	0.0	0.0	0.0
G78526	0.0	4.59088	0.0	0.0	0.05168	0.0	0.0158	0.00093	0.0	0.0	3.4496800000000003	2.99551	0.02567	0.00619	2.9386900000000002	0.007109999999999999	0.0	2.21235	3.32135	0.38424	0.09831000000000001	0.74347	0.13851	0.0	0.00434	0.0	5.82768	0.0	0.0	0.0	0.00547	0.0	0.03848	0.0	0.0	0.025330000000000002	0.38143	0.0	0.0	0.0
G80406	0.0	0.0	0.0	0.0	0.00328	0.0	0.01872	0.0	0.20413	0.19474	0.03292	0.80684	3.01452	0.0	1.68953	0.0	0.0	0.03617	0.71842	0.0	0.0	0.0	0.37738	0.0	0.0	0.0	6.04725	0.10494	0.0	0.0	0.03544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78857	0.0	1.53452	1.72278	0.0	6.25807	0.0	0.0	2.60725	0.0	0.0	0.53775	0.15095999999999998	9.727	0.13569	1.9053	0.0	0.0	0.27268000000000003	2.91704	0.68269	10.20219	0.4569	0.00252	0.0	0.6028100000000001	0.0	0.22288000000000002	2.72105	0.0	0.0	0.0	0.0	0.02501	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.05224	0.42248	0.0	0.0195	0.0	0.02781	0.0	0.0	0.0	0.07211000000000001	0.0	0.0263	0.00043	0.0	0.0	0.0	0.0	0.02125	0.0	0.0	0.0	0.0	0.0	0.00485	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80158	0.0	0.0	0.00924	0.0	0.00128	0.0	0.0028699999999999997	0.0	3.45528	0.62641	0.013030000000000002	0.0	15.81835	0.0004	0.48731	0.0	1.0735700000000001	0.08896	0.23956	0.00264	1.71025	41.909240000000004	0.010209999999999999	0.0	0.00243	0.0	0.18707000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01832	0.11391	0.0	0.0	0.0
G78885	0.0	0.062479999999999994	0.0	0.0	4.30419	0.0	0.0043	0.7719600000000001	0.0	0.0	0.00561	1.35737	0.55165	0.10113	7.93345	0.0	0.0	0.17903	0.0078	0.29316	7.04392	0.0	0.12297999999999999	3.4478	0.0	0.0	0.4905	0.06621	0.0	0.13659000000000002	0.4673	0.0	0.26658000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78714	0.0	0.19819	0.0	0.0	5.300730000000001	0.0	0.01149	3.13853	0.0	0.0	0.41846000000000005	1.2376200000000002	0.0	0.0026100000000000003	0.38926	0.0	0.0	0.11798	0.38033	0.18413	6.4756	0.0	0.047560000000000005	2.3609400000000003	0.0	0.0	0.35544000000000003	0.09312000000000001	0.0	0.0	0.0	0.0	3.6414	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80384	0.0	0.44531000000000004	0.0	0.0	1.06396	0.0	0.0	0.63955	0.0	0.0	0.96019	0.9973700000000001	7.43098	0.007109999999999999	1.1379	0.0	0.0	0.15159	3.4565300000000003	0.22576999999999997	22.26651	0.31999	0.37437	4.652480000000001	0.0	0.0	3.12646	0.026860000000000002	0.02528	0.07107000000000001	0.38391	0.0	0.0	0.0	0.0	0.00635	2.88944	0.0	0.0	0.0
G80505	0.0	2.8382	0.0	0.0	0.00526	0.0	0.07455	0.0	0.0	0.0	0.48983000000000004	0.0	0.0	0.10847000000000001	3.9099	0.0	0.0	0.99775	1.3802299999999998	0.0	15.1261	0.0	0.18206	0.0	0.0	0.0	1.40811	0.08641	0.0	0.0	0.0	0.0	0.00209	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78858	0.0	1.30667	6.5979399999999995	0.9357	3.11069	1.29772	0.0	16.6185	0.0	0.0	0.0030800000000000003	0.0	10.177660000000001	0.01882	0.71528	0.0	0.8192	0.9405	1.9307	0.7291300000000001	0.93855	10.009839999999999	0.0	0.0	0.9847600000000001	0.0	0.01753	0.0	0.0	0.0	0.0	0.0	0.00845	0.0	0.0	0.01753	0.0	0.0	0.0	0.00234
G78598	0.0	0.57808	0.0	0.0	0.006809999999999999	0.0	0.0	0.0	0.0	0.12714	0.41878999999999994	0.22935999999999998	21.052670000000003	0.04985	0.6592899999999999	0.0	0.0	0.19316	5.90774	0.55983	2.36784	4.32563	0.0	0.0	1.9294099999999998	0.0	0.23114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11625	0.27631999999999995	0.0	0.0	0.0
G78717	0.0	0.43988	0.0	0.0	19.78295	0.0	0.0040100000000000005	2.5169	0.0	0.0	0.00302	0.80755	0.7125100000000001	0.007809999999999999	0.54056	0.0	0.0	0.33116999999999996	3.8950400000000003	0.51059	3.58963	0.58514	0.00575	0.0	0.26152	0.0	1.8559299999999999	0.0	0.0	0.0	0.0	0.0	0.01157	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80465	0.0	0.13304000000000002	0.0	0.0	0.013019999999999999	0.0	0.013980000000000001	0.0	0.0353	0.0	0.0	0.0	0.0	0.0	0.54969	0.0	0.0	0.057420000000000006	0.22673000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14275	0.014740000000000001	0.0	0.0	0.01142	0.0	0.02371	0.0	1.95318	0.0	0.0	0.0	0.0	0.0
G78718	0.0	1.04111	5.37861	2.55797	2.3984400000000003	0.0	0.0019399999999999999	14.96386	0.0	0.0	0.75603	0.00131	2.3218400000000003	0.020659999999999998	0.41	0.00998	1.32522	0.15457	7.49062	0.8031	3.59087	1.6901	0.0035	0.0	0.13537000000000002	0.0	0.12235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20399	0.0	0.11456	0.0	0.0
G80606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20405	5.96159	0.00571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00203	0.0	0.0	0.0	0.008759999999999999	0.0	0.41718	0.03075	0.99564	0.0	0.00443	0.0	0.0	69.55456	0.138	0.0	0.0	0.0
G80348	0.0	0.008159999999999999	0.0	0.0	1.95928	0.0	0.0	0.029019999999999997	0.30929	0.01926	0.64222	0.4269	1.09388	0.49891	6.12734	0.0	0.04772	0.23943000000000003	0.6076199999999999	0.0077599999999999995	0.80481	2.73509	3.21352	0.0	0.33726999999999996	0.0	0.5408	0.0325	0.0	0.7182	0.5834600000000001	0.0	0.058289999999999995	0.0	0.0	0.8266899999999999	0.04601	0.0	0.0	0.0
G69205	0.0	0.0	0.0	0.0	0.0	0.0	0.07959	0.0	34.0835	5.17911	0.06094	0.0	0.0	0.0	0.035930000000000004	0.0	0.0	0.02882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04645	0.0	0.0	0.0	0.0	0.0	0.00447	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78618	0.0	0.672	2.26329	2.5702599999999998	1.6145399999999999	0.96706	13.34545	5.13854	0.0	0.0	0.26008000000000003	0.05541	2.4600400000000002	0.01864	3.1316900000000003	0.0	0.23722	0.6251399999999999	4.227469999999999	0.28203	3.30475	3.07385	0.02785	3.4139800000000005	0.01176	0.0	0.019459999999999998	0.0	0.0	1.1579	0.06867999999999999	0.0	5.08156	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78824	0.0	1.8178	3.34881	1.39066	1.4597200000000001	1.07768	9.483889999999999	11.11213	0.0	0.0	0.0	0.11275	2.47496	0.0	1.05205	0.0	0.0354	0.11957000000000001	0.20956999999999998	1.03829	0.19319	1.6498700000000002	0.0	5.86131	0.0	0.0	0.0	0.10845	0.08123	0.09011	0.03242	0.0	19.80854	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78530	0.0	1.2072399999999999	0.90086	2.05725	1.6073	0.0	36.62082	1.34843	0.01505	0.0	0.05745	0.24481	2.30744	0.10390999999999999	0.41161000000000003	0.0	0.17748	0.97193	0.3676	0.99377	0.86797	1.30079	0.01043	0.0	0.0086	0.53637	0.00569	0.01649	0.00277	0.33291	0.026739999999999996	0.0	2.1457599999999997	0.0	0.0	0.0155	0.70155	0.0	0.0	0.0
G80277	0.0	1.33622	0.33956	0.02371	0.20197	0.0	0.8226899999999999	0.993	0.0	0.0	0.034339999999999996	0.57749	0.1258	0.01261	1.13147	0.0	0.00321	0.17246	0.53391	0.09498	1.9963400000000002	0.88725	0.12529	0.0	0.0	14.166929999999999	0.58198	0.0	0.03587	0.6764600000000001	1.8598599999999998	0.0	2.5112099999999997	0.0	0.0	0.00913	0.30889	0.0	0.0	0.0
G80534	0.0	0.18756	0.0	0.0	0.0	0.0	1.5617	12.44713	0.0	0.0	0.2331	0.08471000000000001	25.41497	0.0	1.21296	0.0	0.16831	0.10438	23.78064	1.9014400000000002	5.58862	8.41737	0.08799	0.0	0.47488	0.0	0.05895	0.03694	0.0	0.0	0.16434	0.0	0.67911	0.0	0.0	0.08681	0.0	0.0	0.0	0.0
G69190	0.0	0.00425	0.0	0.0	0.0	0.0	0.0	0.0	0.6403399999999999	3.9356699999999996	0.0	0.0	0.01116	0.0	0.04602	0.0	0.0	0.0	0.12717	0.0	0.13175	0.0	0.0	0.0	0.0	0.0	0.0	0.0141	0.0	0.0	0.39764	0.0	0.0	0.0	0.0	0.0	0.30217	0.0	0.0	0.0
G78851	0.0	0.0	0.0	0.0	0.0	0.0	0.00488	5.26008	0.0	0.2991	0.11085	0.0	5.29026	0.25684	1.45471	0.0	1.41848	0.34594	14.90407	0.0	23.25791	1.36304	0.0	0.0	2.16838	0.0	0.09375	0.0	0.0	0.0	0.0	0.0	0.08703	0.0	0.0	0.0	1.71625	0.0	0.0	0.0
G78850	0.0	0.0	0.0	0.0	0.026269999999999998	0.0	0.013590000000000001	13.15044	0.0	0.0	1.34656	0.033760000000000005	13.40356	0.16892000000000001	8.91876	0.0	0.80533	0.45195	5.344930000000001	0.0	2.83549	0.0	0.06782	0.0	5.08511	0.0	0.67276	0.0	0.0	0.0	0.0	0.0	1.25181	0.0	0.0	0.022090000000000002	0.8034	0.0	0.0	0.0
G78815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.01795	1.5693	0.14052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048200000000000005	0.0	0.08985	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G69221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51156	5.2965800000000005	0.009179999999999999	0.0116	0.0	0.0	0.48398	0.0	0.0	0.01132	0.0	0.0	0.02765	0.0	0.15541	0.0	0.0	0.0	0.0297	0.0	0.01881	0.0	0.15822	0.0	12.48397	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78650	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23488	0.0	0.0	0.0	0.0	4.28413	0.0	3.39512	0.0	0.0	0.0	0.0	0.0	0.7586	0.8113600000000001	2.36452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G69234	0.0	0.00324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6673600000000001	0.00044	7.29035	0.007490000000000001	1.01139	0.00411	0.11148	0.00059	0.0	0.0	0.07973	0.5542199999999999	0.3585	0.0	0.0	0.0	0.01181	0.0016300000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00957	0.0	0.0	0.0	0.0
G78699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90991	4.25005	0.0	0.0	0.0	0.0	0.18565	0.0	0.0	0.0	0.0	0.0	0.00627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03055	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80604	0.0	0.0	0.0	0.0	0.0054	0.0	0.0	0.0	0.0531	0.02291	0.35922	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016280000000000003	0.0	0.0	0.0	0.0	0.0	0.0007	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78518	0.0	5.5273	0.35839	0.04275	0.10545	0.006379999999999999	1.8871799999999999	0.61222	0.0	0.0017399999999999998	2.6958	0.0	3.92858	0.04628	2.35065	0.0	0.0	0.16985	0.80972	0.07103999999999999	2.53982	11.07238	0.014819999999999998	0.0	0.0	0.0	0.00266	0.0	0.87713	0.0	0.0	0.06987	2.02215	0.0	0.0	0.42658999999999997	2.17252	0.0	0.0	0.0
